Experiment ; nb_agents ; success_rate
offices_range1_agents ; 2 ; 1.0
offices_range1_agents ; 5 ; 1.0
offices_range1_agents ; 10 ; 1.0
offices_range1_agents ; 15 ; 1.0
offices_range1_agents ; 20 ; 0.95
offices_range1_agents ; 30 ; 0.4
offices_range1_agents ; 40 ; 0.0
offices_range1_agents ; 50 ; 0.0
offices_range1_agents ; 60 ; 0.0
offices_range1_agents ; 80 ; 0.0
offices_range1_agents ; 100 ; 0.0
offices_range1_agents ; 125 ; 0.0
offices_range1_agents ; 150 ; 0.0
offices_range1_agents ; 175 ; 0.0
offices_range1_agents ; 200 ; 0.0
offices_range1_agents ; 225 ; 0.0
offices_range1_agents ; 250 ; 0.0
offices_range1_agents ; 275 ; 0.0
offices_range1_agents ; 300 ; 0.0
