id ; Experiment ; nb_agents ; time
0 ; parallel_range4_agents ; 2 ; 0.09
1 ; parallel_range4_agents ; 2 ; 0.09
2 ; parallel_range4_agents ; 2 ; 0.1
3 ; parallel_range4_agents ; 2 ; 0.1
4 ; parallel_range4_agents ; 2 ; 0.1
5 ; parallel_range4_agents ; 2 ; 0.1
6 ; parallel_range4_agents ; 2 ; 0.11
7 ; parallel_range4_agents ; 2 ; 0.11
8 ; parallel_range4_agents ; 2 ; 0.11
9 ; parallel_range4_agents ; 2 ; 0.11
10 ; parallel_range4_agents ; 2 ; 0.11
11 ; parallel_range4_agents ; 2 ; 0.12
12 ; parallel_range4_agents ; 2 ; 0.12
13 ; parallel_range4_agents ; 2 ; 0.12
14 ; parallel_range4_agents ; 2 ; 0.12
15 ; parallel_range4_agents ; 2 ; 0.12
16 ; parallel_range4_agents ; 2 ; 0.12
17 ; parallel_range4_agents ; 2 ; 0.12
18 ; parallel_range4_agents ; 2 ; 0.12
19 ; parallel_range4_agents ; 5 ; 0.15
20 ; parallel_range4_agents ; 2 ; 0.16
21 ; parallel_range4_agents ; 5 ; 0.16
22 ; parallel_range4_agents ; 5 ; 0.17
23 ; parallel_range4_agents ; 5 ; 0.19
24 ; parallel_range4_agents ; 5 ; 0.19
25 ; parallel_range4_agents ; 5 ; 0.2
26 ; parallel_range4_agents ; 5 ; 0.2
27 ; parallel_range4_agents ; 5 ; 0.2
28 ; parallel_range4_agents ; 5 ; 0.21
29 ; parallel_range4_agents ; 5 ; 0.21
30 ; parallel_range4_agents ; 5 ; 0.24
31 ; parallel_range4_agents ; 5 ; 0.24
32 ; parallel_range4_agents ; 5 ; 0.24
33 ; parallel_range4_agents ; 5 ; 0.28
34 ; parallel_range4_agents ; 5 ; 0.3
35 ; parallel_range4_agents ; 5 ; 0.33
36 ; parallel_range4_agents ; 5 ; 0.35
37 ; parallel_range4_agents ; 5 ; 0.45
38 ; parallel_range4_agents ; 5 ; 0.46
39 ; parallel_range4_agents ; 10 ; 0.48
40 ; parallel_range4_agents ; 10 ; 0.5
41 ; parallel_range4_agents ; 10 ; 0.71
42 ; parallel_range4_agents ; 10 ; 0.73
43 ; parallel_range4_agents ; 5 ; 0.84
44 ; parallel_range4_agents ; 10 ; 0.92
45 ; parallel_range4_agents ; 10 ; 0.96
46 ; parallel_range4_agents ; 15 ; 0.96
47 ; parallel_range4_agents ; 10 ; 1.09
48 ; parallel_range4_agents ; 15 ; 1.13
49 ; parallel_range4_agents ; 10 ; 1.14
50 ; parallel_range4_agents ; 15 ; 1.17
51 ; parallel_range4_agents ; 10 ; 1.21
52 ; parallel_range4_agents ; 10 ; 1.24
53 ; parallel_range4_agents ; 15 ; 1.26
54 ; parallel_range4_agents ; 10 ; 1.31
55 ; parallel_range4_agents ; 10 ; 1.31
56 ; parallel_range4_agents ; 15 ; 1.32
57 ; parallel_range4_agents ; 10 ; 1.36
58 ; parallel_range4_agents ; 10 ; 1.38
59 ; parallel_range4_agents ; 10 ; 1.39
60 ; parallel_range4_agents ; 10 ; 1.48
61 ; parallel_range4_agents ; 10 ; 1.49
62 ; parallel_range4_agents ; 15 ; 1.81
63 ; parallel_range4_agents ; 10 ; 1.87
64 ; parallel_range4_agents ; 15 ; 1.91
65 ; parallel_range4_agents ; 15 ; 2.03
66 ; parallel_range4_agents ; 15 ; 2.56
67 ; parallel_range4_agents ; 15 ; 2.56
68 ; parallel_range4_agents ; 10 ; 2.96
69 ; parallel_range4_agents ; 15 ; 3.0
70 ; parallel_range4_agents ; 20 ; 3.59
71 ; parallel_range4_agents ; 20 ; 3.66
72 ; parallel_range4_agents ; 15 ; 3.86
73 ; parallel_range4_agents ; 20 ; 4.19
74 ; parallel_range4_agents ; 20 ; 4.43
75 ; parallel_range4_agents ; 20 ; 5.07
76 ; parallel_range4_agents ; 20 ; 5.62
77 ; parallel_range4_agents ; 15 ; 5.76
78 ; parallel_range4_agents ; 20 ; 5.84
79 ; parallel_range4_agents ; 15 ; 5.9
80 ; parallel_range4_agents ; 20 ; 5.91
81 ; parallel_range4_agents ; 15 ; 6.19
82 ; parallel_range4_agents ; 20 ; 7.33
83 ; parallel_range4_agents ; 15 ; 7.46
84 ; parallel_range4_agents ; 20 ; 8.5
85 ; parallel_range4_agents ; 10 ; 8.54
86 ; parallel_range4_agents ; 20 ; 8.83
87 ; parallel_range4_agents ; 20 ; 9.04
88 ; parallel_range4_agents ; 20 ; 9.99
89 ; parallel_range4_agents ; 20 ; 10.86
90 ; parallel_range4_agents ; 30 ; 11.04
91 ; parallel_range4_agents ; 30 ; 13.07
92 ; parallel_range4_agents ; 15 ; 13.45
93 ; parallel_range4_agents ; 20 ; 14.36
94 ; parallel_range4_agents ; 30 ; 15.03
95 ; parallel_range4_agents ; 30 ; 16.98
96 ; parallel_range4_agents ; 20 ; 17.25
97 ; parallel_range4_agents ; 30 ; 17.41
98 ; parallel_range4_agents ; 20 ; 17.92
99 ; parallel_range4_agents ; 30 ; 20.11
100 ; parallel_range4_agents ; 20 ; 20.25
101 ; parallel_range4_agents ; 30 ; 21.59
102 ; parallel_range4_agents ; 30 ; 23.68
103 ; parallel_range4_agents ; 20 ; 25.54
104 ; parallel_range4_agents ; 30 ; 27.56
105 ; parallel_range4_agents ; 30 ; 28.34
106 ; parallel_range4_agents ; 40 ; 34.73
107 ; parallel_range4_agents ; 30 ; 35.32
108 ; parallel_range4_agents ; 40 ; 38.58
109 ; parallel_range4_agents ; 40 ; 42.06
110 ; parallel_range4_agents ; 15 ; 46.04
111 ; parallel_range4_agents ; 30 ; 48.61
112 ; parallel_range4_agents ; 40 ; 48.63
113 ; parallel_range4_agents ; 30 ; 50.9
114 ; parallel_range4_agents ; 40 ; 53.41
115 ; parallel_range4_agents ; 40 ; 53.87
116 ; parallel_range4_agents ; 40 ; 57.99
117 ; parallel_range4_agents ; 30 ; 59.4
118 ; parallel_range4_agents ; 40 ; 61.81
119 ; parallel_range4_agents ; 40 ; 63.81
120 ; parallel_range4_agents ; 50 ; 81.58
121 ; parallel_range4_agents ; 30 ; 86.89
122 ; parallel_range4_agents ; 50 ; 104.81
123 ; parallel_range4_agents ; 40 ; 109.51
124 ; parallel_range4_agents ; 40 ; 113.32
125 ; parallel_range4_agents ; 40 ; 117.51
126 ; parallel_range4_agents ; 30 ; 119.13
